Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Hotel_Link
Raj Residency,4.2,pondicherry,1-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1593.0,https://www.agoda.com/search?text=Raj%20Residency%20pondicherry%20India
Hotel Ram International,3.9,pondicherry,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1939.0,https://www.agoda.com/search?text=Hotel%20Ram%20International%20pondicherry%20India
Prince Park Farm House,3.9,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2258.0,https://www.agoda.com/search?text=Prince%20Park%20Farm%20House%20pondicherry%20India
Hotel D'Inn,3.6,pondicherry,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1190.0,https://www.agoda.com/search?text=Hotel%20D%27Inn%20pondicherry%20India
Hotel Annamalai International,4.0,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3724.0,https://www.agoda.com/search?text=Hotel%20Annamalai%20International%20pondicherry%20India
Nomad House,4.5,pondicherry,Free Wi-Fi,Air conditioning,Kitchen,Full-service laundry,Air conditioning,Air conditioning,Air conditioning,No beach access,Kitchen,1381.0,https://www.agoda.com/search?text=Nomad%20House%20pondicherry%20India
Villa Sentosa,4.1,pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,Full-service laundry,2168.0,https://www.agoda.com/search?text=Villa%20Sentosa%20pondicherry%20India
Her View I Luxe Room & Kitchen,3.2,pondicherry,3-star hotel,Free breakfast,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,3306.0,https://www.agoda.com/search?text=Her%20View%20I%20Luxe%20Room%20%26%20Kitchen%20pondicherry%20India
Maison Petite Singapore,3.9,pondicherry,House,Paid parking,Free Wi-Fi,5 bathrooms,Air conditioning,Smoke-free,Free parking,Free Wi-Fi,No airport shuttle,2521.0,https://www.agoda.com/search?text=Maison%20Petite%20Singapore%20pondicherry%20India
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956.0,https://www.agoda.com/search?text=Hotel%20Gargee%20Grand%20%7C%20Best%20Hotel%20in%20Patna%20patna%20India
HOTEL AMALFI GRAND,4.1,patna,4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,4004.0,https://www.agoda.com/search?text=HOTEL%20AMALFI%20GRAND%20patna%20India
Hotel Fortune..,3.6,patna,3-star hotel,Free Wi-Fi,Paid parking,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,No beach access,1200.0,https://www.agoda.com/search?text=Hotel%20Fortune..%20patna%20India
HOTEL AMALFI GRAND,4.1,patna,4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,2935.0,https://www.agoda.com/search?text=HOTEL%20AMALFI%20GRAND%20patna%20India
Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,4.1,patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2438.0,https://www.agoda.com/search?text=Hotel%20Bodhi%20Tree%20-%20Best%20Hotel%20in%20Patna%20%7C%20Hotels%20Near%20Patna%20junction%20Railway%20Station%20and%20Patna%20airport%20patna%20India
"Lemon Tree Premier, Patna",4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6472.0,https://www.agoda.com/search?text=Lemon%20Tree%20Premier%2C%20Patna%20patna%20India
The Grand Empire | Best 4 Star Luxury Hotel in Patna,4.0,patna,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,4662.0,https://www.agoda.com/search?text=The%20Grand%20Empire%20%7C%20Best%204%20Star%20Luxury%20Hotel%20in%20Patna%20patna%20India
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956.0,https://www.agoda.com/search?text=Hotel%20Gargee%20Grand%20%7C%20Best%20Hotel%20in%20Patna%20patna%20India
Ghar Aangan Resort,3.9,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,2902.0,https://www.agoda.com/search?text=Ghar%20Aangan%20Resort%20patna%20India
The Park Pride,4.2,patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,Pet-friendly,No elevator,2837.0,https://www.agoda.com/search?text=The%20Park%20Pride%20patna%20India
"Hotel Virasat Retreat, Opposit Medanta Hospital,Patna",4.0,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,1712.0,https://www.agoda.com/search?text=Hotel%20Virasat%20Retreat%2C%20Opposit%20Medanta%20Hospital%2CPatna%20patna%20India
Buddha Heritage,4.0,patna,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,3015.0,https://www.agoda.com/search?text=Buddha%20Heritage%20patna%20India
Hotel Maurya,4.3,patna,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10112.0,https://www.agoda.com/search?text=Hotel%20Maurya%20patna%20India
Hotel Mundrika Deluxe,3.2,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1300.0,https://www.agoda.com/search?text=Hotel%20Mundrika%20Deluxe%20patna%20India
Hotel Aurelia Pearl,4.8,patna,Breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Smoke-free,Full-service laundry,No fitness center,1846.0,https://www.agoda.com/search?text=Hotel%20Aurelia%20Pearl%20patna%20India
The Hotel Bliss | Best Hotels in Patna,4.1,patna,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1450.0,https://www.agoda.com/search?text=The%20Hotel%20Bliss%20%7C%20Best%20Hotels%20in%20Patna%20patna%20India
The AVR Hotel,4.1,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2438.0,https://www.agoda.com/search?text=The%20AVR%20Hotel%20patna%20India
Super OYO Townhouse OAK Holiday Grand,3.3,patna,Apartment,Free breakfast,Air conditioning,Kitchen,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,1553.0,https://www.agoda.com/search?text=Super%20OYO%20Townhouse%20OAK%20Holiday%20Grand%20patna%20India
Hotel Windsor,3.9,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4536.0,https://www.agoda.com/search?text=Hotel%20Windsor%20patna%20India
"Lemon Tree Premier, Patna",4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6882.0,https://www.agoda.com/search?text=Lemon%20Tree%20Premier%2C%20Patna%20patna%20India
Treebo Trend Seven Suites,3.5,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Paid parking,Room service,Kitchen,Full-service laundry,Kid-friendly,2488.0,https://www.agoda.com/search?text=Treebo%20Trend%20Seven%20Suites%20nagpur%20India
Treebo Trend Chalets,4.2,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,3008.0,https://www.agoda.com/search?text=Treebo%20Trend%20Chalets%20nagpur%20India
Radisson Blu Hotel Nagpur,4.5,nagpur,5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9361.0,https://www.agoda.com/search?text=Radisson%20Blu%20Hotel%20Nagpur%20nagpur%20India
Regenta Central Hotel & Convention Centre,4.0,nagpur,4-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3830.0,https://www.agoda.com/search?text=Regenta%20Central%20Hotel%20%26%20Convention%20Centre%20nagpur%20India
Hotel The Embassy,4.1,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,3395.0,https://www.agoda.com/search?text=Hotel%20The%20Embassy%20nagpur%20India
Hotel Centre Point,4.3,nagpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4681.0,https://www.agoda.com/search?text=Hotel%20Centre%20Point%20nagpur%20India
"The Legend Inn, Nagpur",4.0,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,3276.0,https://www.agoda.com/search?text=The%20Legend%20Inn%2C%20Nagpur%20nagpur%20India
Orange Tree Hotels,4.4,nagpur,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Bar,Full-service laundry,3042.0,https://www.agoda.com/search?text=Orange%20Tree%20Hotels%20nagpur%20India
Octave Parkland Suites,4.3,nagpur,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Spa,2099.0,https://www.agoda.com/search?text=Octave%20Parkland%20Suites%20nagpur%20India
"RSVP NAGPUR(Restro-bar,Rooftop & Rooms)",4.0,nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,Fitness center,No elevator,2300.0,https://www.agoda.com/search?text=RSVP%20NAGPUR%28Restro-bar%2CRooftop%20%26%20Rooms%29%20nagpur%20India
Treebo Trend Chalets,4.2,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2989.0,https://www.agoda.com/search?text=Treebo%20Trend%20Chalets%20nagpur%20India
Hotel Orient Crown,3.9,nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Smoke-free,No elevator,1677.0,https://www.agoda.com/search?text=Hotel%20Orient%20Crown%20nagpur%20India
Hotel Maitrayee,4.6,nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2384.0,https://www.agoda.com/search?text=Hotel%20Maitrayee%20nagpur%20India
Hotel Nagpur Ashok,4.0,nagpur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,5235.0,https://www.agoda.com/search?text=Hotel%20Nagpur%20Ashok%20nagpur%20India
Nirvana Residency,4.7,nagpur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Kitchen,Kitchen,Spa,Restaurant,2600.0,https://www.agoda.com/search?text=Nirvana%20Residency%20nagpur%20India
The Paramount Hotel,4.4,nagpur,Free Wi-Fi,Paid parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Smoke-free,Accessible,1071.0,https://www.agoda.com/search?text=The%20Paramount%20Hotel%20nagpur%20India
Hotel President Nagpur,4.1,nagpur,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2813.0,https://www.agoda.com/search?text=Hotel%20President%20Nagpur%20nagpur%20India
Treebo Trend The Pavilion,4.0,nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Spa,2966.0,https://www.agoda.com/search?text=Treebo%20Trend%20The%20Pavilion%20nagpur%20India
Treebo Trend Hotel A1,3.9,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,2689.0,https://www.agoda.com/search?text=Treebo%20Trend%20Hotel%20A1%20nagpur%20India
The Park Indore,4.7,indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6272.0,https://www.agoda.com/search?text=The%20Park%20Indore%20indore%20India
Pride Hotel & Convention Centre Indore,4.1,indore,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3807.0,https://www.agoda.com/search?text=Pride%20Hotel%20%26%20Convention%20Centre%20Indore%20indore%20India
Pride Hotel & Convention Centre Indore,4.1,indore,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3273.0,https://www.agoda.com/search?text=Pride%20Hotel%20%26%20Convention%20Centre%20Indore%20indore%20India
Hotel Solaris,4.0,indore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2259.0,https://www.agoda.com/search?text=Hotel%20Solaris%20indore%20India
Sayaji Hotel Indore,4.4,indore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5111.0,https://www.agoda.com/search?text=Sayaji%20Hotel%20Indore%20indore%20India
Best Western Plus Indore,4.2,indore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3424.0,https://www.agoda.com/search?text=Best%20Western%20Plus%20Indore%20indore%20India
Fairfield by Marriott Indore,4.2,indore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,4770.0,https://www.agoda.com/search?text=Fairfield%20by%20Marriott%20Indore%20indore%20India
Jalsa Resort & Banquets,4.3,indore,Free Wi-Fi,Free parking,Pool,Spa,Restaurant,Kitchen,Full-service laundry,Accessible,Kid-friendly,2921.0,https://www.agoda.com/search?text=Jalsa%20Resort%20%26%20Banquets%20indore%20India
Radisson Blu Hotel Indore,4.5,indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6266.0,https://www.agoda.com/search?text=Radisson%20Blu%20Hotel%20Indore%20indore%20India
Indore Marriott Hotel,4.4,indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6721.0,https://www.agoda.com/search?text=Indore%20Marriott%20Hotel%20indore%20India
Sheraton Grand Palace Indore,4.3,indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7280.0,https://www.agoda.com/search?text=Sheraton%20Grand%20Palace%20Indore%20indore%20India
Jardin Hotels,4.2,indore,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Accessible,2508.0,https://www.agoda.com/search?text=Jardin%20Hotels%20indore%20India
"WOW Crest, Indore - IHCL SeleQtions",4.3,indore,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,5878.0,https://www.agoda.com/search?text=WOW%20Crest%2C%20Indore%20-%20IHCL%20SeleQtions%20indore%20India
Effotel by Sayaji,4.3,indore,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,4090.0,https://www.agoda.com/search?text=Effotel%20by%20Sayaji%20indore%20India
"Hotel Meritel Grande, Indore",4.9,indore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Spa,Bar,Restaurant,Room service,Kitchen,1384.0,https://www.agoda.com/search?text=Hotel%20Meritel%20Grande%2C%20Indore%20indore%20India
Hotel Vrindavan Palace,4.4,indore,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Room service,Kitchen,Full-service laundry,Restaurant,1871.0,https://www.agoda.com/search?text=Hotel%20Vrindavan%20Palace%20indore%20India
Hotel Shri Niwas,3.7,indore,2-star hotel,Free Wi-Fi,Paid parking,Pool,Kitchen,Full-service laundry,Kid-friendly,Spa,Full-service laundry,1289.0,https://www.agoda.com/search?text=Hotel%20Shri%20Niwas%20indore%20India
JMC HOTEL S GRANDE INDORE,4.6,indore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2239.0,https://www.agoda.com/search?text=JMC%20HOTEL%20S%20GRANDE%20INDORE%20indore%20India
The Park Indore,4.7,indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5018.0,https://www.agoda.com/search?text=The%20Park%20Indore%20indore%20India
My Special House,2.9,indore,4-star hotel,Free breakfast,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,1020.0,https://www.agoda.com/search?text=My%20Special%20House%20indore%20India
Astha Lakshmi Tourist Homestay,4.5,indore,4-star hotel,Free breakfast,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1428.0,https://www.agoda.com/search?text=Astha%20Lakshmi%20Tourist%20Homestay%20indore%20India
Treebo Trend Grand Euro,4.7,indore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Business center,Kid-friendly,2570.0,https://www.agoda.com/search?text=Treebo%20Trend%20Grand%20Euro%20indore%20India
Sayaji Hotel Indore,4.4,indore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5874.0,https://www.agoda.com/search?text=Sayaji%20Hotel%20Indore%20indore%20India
Trident Hotel Jaipur,4.4,jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,14160.0,https://www.agoda.com/search?text=Trident%20Hotel%20Jaipur%20jaipur%20India
The Lalit Jaipur,4.4,jaipur,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,12389.0,https://www.agoda.com/search?text=The%20Lalit%20Jaipur%20jaipur%20India
Hotel Sarang Palace - Boutique Stays & Candlelight Dining,4.4,jaipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Spa,Bar,Restaurant,Room service,2724.0,https://www.agoda.com/search?text=Hotel%20Sarang%20Palace%20-%20Boutique%20Stays%20%26%20Candlelight%20Dining%20jaipur%20India
Moustache Jaipur,4.4,jaipur,2-star hotel,Free Wi-Fi,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Full-service laundry,Full-service laundry,1039.0,https://www.agoda.com/search?text=Moustache%20Jaipur%20jaipur%20India
Chokhi Dhani Resort,4.3,jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10029.0,https://www.agoda.com/search?text=Chokhi%20Dhani%20Resort%20jaipur%20India
"Holiday Inn Jaipur City Centre, an IHG Hotel",4.5,jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,14190.0,https://www.agoda.com/search?text=Holiday%20Inn%20Jaipur%20City%20Centre%2C%20an%20IHG%20Hotel%20jaipur%20India
Umaid Bhawan-A Royal Heritage Style Boutique Hotel,4.3,jaipur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,5585.0,https://www.agoda.com/search?text=Umaid%20Bhawan-A%20Royal%20Heritage%20Style%20Boutique%20Hotel%20jaipur%20India
Jaipur Marriott Hotel,4.5,jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7840.0,https://www.agoda.com/search?text=Jaipur%20Marriott%20Hotel%20jaipur%20India
"Devi Ratn, Jaipur – IHCL SeleQtions",4.5,jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,16992.0,https://www.agoda.com/search?text=Devi%20Ratn%2C%20Jaipur%20%E2%80%93%20IHCL%20SeleQtions%20jaipur%20India
The Lalit Jaipur,4.4,jaipur,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7381.0,https://www.agoda.com/search?text=The%20Lalit%20Jaipur%20jaipur%20India
Hotel Rajasthan Palace,4.7,jaipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,5479.0,https://www.agoda.com/search?text=Hotel%20Rajasthan%20Palace%20jaipur%20India
WelcomHeritage Traditional Haveli,4.5,jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,4704.0,https://www.agoda.com/search?text=WelcomHeritage%20Traditional%20Haveli%20jaipur%20India
Hilton Jaipur,4.4,jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6885.0,https://www.agoda.com/search?text=Hilton%20Jaipur%20jaipur%20India
"Lemon Tree Premier, Jaipur",4.3,jaipur,4-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3920.0,https://www.agoda.com/search?text=Lemon%20Tree%20Premier%2C%20Jaipur%20jaipur%20India
Hotel Grand Lotus Inn,4.7,jaipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1489.0,https://www.agoda.com/search?text=Hotel%20Grand%20Lotus%20Inn%20jaipur%20India
"Jai Mahal Palace, Jaipur",4.7,jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,34173.0,https://www.agoda.com/search?text=Jai%20Mahal%20Palace%2C%20Jaipur%20jaipur%20India
Chokhi Dhani Resort,4.3,jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8388.0,https://www.agoda.com/search?text=Chokhi%20Dhani%20Resort%20jaipur%20India
Dera Jaipur,4.5,jaipur,4-star hotel,Breakfast,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,8400.0,https://www.agoda.com/search?text=Dera%20Jaipur%20jaipur%20India
Blue Beds Jaipur,4.4,jaipur,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,1858.0,https://www.agoda.com/search?text=Blue%20Beds%20Jaipur%20jaipur%20India
Hotel Royal Orchid Jaipur,4.3,jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Restaurant,6011.0,https://www.agoda.com/search?text=Hotel%20Royal%20Orchid%20Jaipur%20jaipur%20India
Ginger Jaipur,4.1,jaipur,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,Full-service laundry,3135.0,https://www.agoda.com/search?text=Ginger%20Jaipur%20jaipur%20India
Pride Amber Vilas Resort & Convention Centre,4.2,jaipur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7951.0,https://www.agoda.com/search?text=Pride%20Amber%20Vilas%20Resort%20%26%20Convention%20Centre%20jaipur%20India
Sureli Haveli Jaipur,3.8,jaipur,Free breakfast,Free Wi-Fi,Paid parking,No outdoor grill,Not pet-friendly,Not smoke-free,Not wheelchair accessible,Full-service laundry,Restaurant,1415.0,https://www.agoda.com/search?text=Sureli%20Haveli%20Jaipur%20jaipur%20India
ibis Nashik,4.4,nashik,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Full-service laundry,2911.0,https://www.agoda.com/search?text=ibis%20Nashik%20nashik%20India
Treebo Trend Abode,4.0,nashik,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,Accessible,3271.0,https://www.agoda.com/search?text=Treebo%20Trend%20Abode%20nashik%20India
Birla Ayurveda Stay Centre,4.1,nashik,Free breakfast,Free breakfast,Air conditioning,Paid parking,Free Wi-Fi,No crib,No elevator,No fireplace,No fitness center,1482.0,https://www.agoda.com/search?text=Birla%20Ayurveda%20Stay%20Centre%20nashik%20India
ibis Nashik,4.4,nashik,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Full-service laundry,2872.0,https://www.agoda.com/search?text=ibis%20Nashik%20nashik%20India
Raghunandan Resort,4.2,nashik,Breakfast,Free Wi-Fi,Paid parking,Free parking,Full-service laundry,Paid parking,No crib,Restaurant,Airport shuttle,2195.0,https://www.agoda.com/search?text=Raghunandan%20Resort%20nashik%20India
The Emerald Park,4.0,nashik,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,3190.0,https://www.agoda.com/search?text=The%20Emerald%20Park%20nashik%20India
The Gateway Hotel Ambad Nashik,4.6,nashik,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,12980.0,https://www.agoda.com/search?text=The%20Gateway%20Hotel%20Ambad%20Nashik%20nashik%20India
"Enrise by Sayaji - Nashik, Best Banquet Hotel",4.2,nashik,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,3489.0,https://www.agoda.com/search?text=Enrise%20by%20Sayaji%20-%20Nashik%2C%20Best%20Banquet%20Hotel%20nashik%20India
"Hotel Royale Heritage, Nashik",3.8,nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,1242.0,https://www.agoda.com/search?text=Hotel%20Royale%20Heritage%2C%20Nashik%20nashik%20India
Courtyard by Marriott Nashik,4.4,nashik,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,9735.0,https://www.agoda.com/search?text=Courtyard%20by%20Marriott%20Nashik%20nashik%20India
Ginger Nashik,3.8,nashik,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Kitchen,Full-service laundry,Kid-friendly,3518.0,https://www.agoda.com/search?text=Ginger%20Nashik%20nashik%20India
Hotel Panchavati Yatri,4.0,nashik,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,1934.0,https://www.agoda.com/search?text=Hotel%20Panchavati%20Yatri%20nashik%20India
Caves County,4.1,nashik,Free breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Full-service laundry,Fitness center,Full-service laundry,Full-service laundry,4021.0,https://www.agoda.com/search?text=Caves%20County%20nashik%20India
Hotel Rama Heritage,4.1,nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2746.0,https://www.agoda.com/search?text=Hotel%20Rama%20Heritage%20nashik%20India
